Dealership,Season,Car,Buyer,Buyer_Age,Price,Buyer_Income
NYC,Summer,Jeep,Male,41,10720,40771
Seattle,Winter,Nissan,Female,61,30778,240132
Austin,Spring,Jeep,Female,24,13220,195017
LA,Winter,Ford,Female,65,39390,48955
San Antonio,Winter,Hyundai,Female,62,34818,181472
LA,Fall,Jeep,Female,54,43409,205646
Seattle,Winter,Subaru,Male,65,29249,267301
Columbus,Summer,Subaru,Male,82,40577,254255
San Diego,Fall,Toyota,Female,63,13957,258141
NYC,Summer,Jeep,Female,34,26698,278448
San Antonio,Fall,Ford,Male,37,32714,288974
San Diego,Fall,Hyundai,Male,54,47243,167045
San Antonio,Spring,Subaru,Male,77,36797,201850
Houston,Fall,Honda,Male,32,48363,283517
Houston,Winter,Chevrolet,Female,80,34301,243644
Phoenix,Summer,Jeep,Female,67,14086,270070
LA,Spring,Hyundai,Male,50,31271,144318
San Antonio,Summer,Ram,Female,69,14653,272619
Houston,Summer,Toyota,Female,55,42166,190987
Columbus,Spring,Toyota,Male,81,23823,174034
NYC,Fall,Honda,Female,79,32525,44156
NYC,Spring,Subaru,Female,31,12403,295322
Columbus,Summer,GMC,Female,26,24708,137562
NYC,Fall,Hyundai,Male,34,12939,284072
NYC,Spring,Chevrolet,Male,33,45447,185172
Columbus,Fall,Subaru,Female,51,22070,93734
Philladephia,Summer,Nissan,Female,78,30185,109263
Philladephia,Fall,GMC,Male,38,37037,173672
San Antonio,Winter,Toyota,Female,80,17527,60044
Houston,Winter,Chevrolet,Male,34,25690,146165
NYC,Winter,Subaru,Male,41,19161,145244
Columbus,Summer,Chevrolet,Male,45,34143,160896
Philladephia,Fall,Kia,Female,61,22837,106031
LA,Spring,Honda,Male,54,37082,107339
San Antonio,Fall,Nissan,Female,24,17705,278386
Chicago,Summer,Hyundai,Male,69,11340,128055
Philladephia,Spring,Nissan,Female,58,23695,201657
Phoenix,Winter,Subaru,Male,79,25699,100353
NYC,Fall,Subaru,Female,51,46451,277953
Seattle,Fall,Chevrolet,Female,63,18235,47348
Philladephia,Summer,Honda,Male,26,11084,127200
LA,Fall,Ram,Female,67,33803,229506
San Diego,Spring,Hyundai,Female,46,47047,92174
Houston,Fall,Nissan,Male,35,38084,293677
Columbus,Spring,Toyota,Female,70,19628,180364
Phoenix,Spring,Kia,Male,55,44315,44660
Houston,Fall,Nissan,Male,27,30081,298490
San Diego,Summer,Kia,Male,78,24473,141164
Chicago,Winter,Toyota,Male,36,37934,277323
San Antonio,Fall,Ram,Male,42,15508,161314
Phoenix,Summer,Honda,Male,56,44030,136768
San Diego,Fall,Nissan,Male,69,12503,58394
Seattle,Fall,Jeep,Male,80,12917,138640
San Antonio,Spring,Hyundai,Male,69,17957,223362
LA,Summer,Kia,Male,72,16251,134943
San Diego,Winter,Ram,Female,61,45359,217116
Philladephia,Spring,Kia,Female,35,29243,178681
Columbus,Winter,Chevrolet,Female,53,41244,201697
Phoenix,Fall,Ford,Female,24,27225,112566
San Antonio,Fall,Subaru,Female,33,17158,239391
Philladephia,Spring,Ram,Female,34,41191,151888
San Antonio,Spring,Kia,Male,23,24534,117334
San Diego,Winter,Jeep,Female,39,15565,224885
NYC,Winter,Ford,Female,82,44970,44092
Houston,Spring,Honda,Male,46,20869,159460
LA,Summer,Nissan,Male,29,20020,255941
Austin,Fall,GMC,Female,28,42900,261128
San Diego,Spring,GMC,Male,27,33372,101564
LA,Spring,Hyundai,Male,30,11960,173128
Columbus,Winter,Ford,Female,24,18141,98034
Chicago,Summer,Hyundai,Male,38,43442,269104
San Antonio,Summer,Kia,Male,39,34364,284578
LA,Winter,GMC,Male,38,28476,69999
LA,Winter,Toyota,Male,54,47399,127521
Chicago,Spring,Subaru,Female,62,48383,58647
Seattle,Fall,Kia,Male,33,24724,226858
San Antonio,Fall,Ram,Female,63,49890,165489
Philladephia,Winter,GMC,Male,34,22844,176485
Philladephia,Summer,GMC,Female,27,26529,146997
Houston,Fall,Ram,Male,43,37712,107698
Austin,Summer,Ford,Female,72,12992,74531
San Antonio,Fall,Kia,Female,23,43716,171037
San Diego,Summer,Jeep,Female,63,38014,234986
NYC,Spring,Ram,Female,38,49083,276256
Seattle,Winter,Honda,Male,30,37935,123741
San Antonio,Summer,Toyota,Male,42,47255,242859
NYC,Spring,Jeep,Male,49,43909,172899
Chicago,Spring,Subaru,Male,83,45490,190200
Seattle,Summer,Subaru,Female,45,28472,63461
Philladephia,Winter,Ram,Male,74,37827,280525
Houston,Fall,Subaru,Female,47,14627,125237
Phoenix,Winter,Jeep,Female,61,32254,241395
NYC,Summer,Nissan,Female,64,23868,185516
Seattle,Fall,GMC,Female,63,20271,46906
Chicago,Summer,GMC,Male,25,47102,229039
LA,Summer,GMC,Male,38,49055,134754
LA,Spring,Hyundai,Female,78,32119,147132
Philladephia,Fall,Kia,Female,64,26731,261267
Seattle,Spring,Nissan,Female,71,16590,57651
Houston,Fall,GMC,Male,75,22725,157777
NYC,Winter,Toyota,Male,33,49958,161557
LA,Summer,Ford,Male,32,37021,165159
Austin,Fall,Ford,Male,38,16828,90708
Austin,Fall,Honda,Male,65,25788,122477
Columbus,Summer,Honda,Female,38,11509,115599
LA,Spring,Hyundai,Female,78,18480,51797
Phoenix,Summer,Toyota,Male,67,16458,159363
Chicago,Summer,Nissan,Male,59,36538,87516
NYC,Summer,Chevrolet,Female,73,49573,96326
NYC,Spring,GMC,Female,77,16449,284855
Houston,Summer,Jeep,Female,65,33334,73856
San Antonio,Fall,Honda,Male,78,49248,213269
San Antonio,Summer,Honda,Male,31,41581,194766
Phoenix,Spring,Chevrolet,Male,43,33660,244438
NYC,Summer,Jeep,Male,29,49391,54982
Philladephia,Winter,Nissan,Male,68,26110,273491
Chicago,Summer,GMC,Male,41,34755,82160
Columbus,Winter,Honda,Female,29,26196,266386
Columbus,Spring,Honda,Male,34,31454,159722
San Antonio,Spring,Ford,Female,55,21732,56157
San Diego,Spring,Kia,Male,42,35073,191782
Philladephia,Spring,Ford,Female,66,49747,281529
San Diego,Fall,Kia,Female,28,36400,202946
San Diego,Spring,Nissan,Male,62,22936,93953
San Diego,Winter,Ram,Female,81,10201,182098
Seattle,Winter,Toyota,Female,59,21884,236312
NYC,Winter,Nissan,Female,33,37702,248001
Columbus,Fall,Kia,Male,24,17119,43548
San Diego,Summer,Toyota,Male,67,23010,266516
LA,Winter,Kia,Female,26,46399,110441
Chicago,Fall,Honda,Male,35,27506,130353
NYC,Fall,Ram,Female,73,34328,260729
LA,Spring,GMC,Male,83,37707,64122
San Diego,Winter,Nissan,Female,57,19721,210753
Philladephia,Winter,Ford,Male,46,41618,260278
Philladephia,Winter,Hyundai,Male,66,48049,70580
Phoenix,Summer,Honda,Male,22,16527,117488
Chicago,Summer,Nissan,Male,39,37201,142856
San Diego,Spring,Jeep,Female,52,23120,57681
San Diego,Fall,Hyundai,Female,72,27381,96564
Columbus,Summer,Hyundai,Female,60,17479,53982
San Antonio,Fall,Kia,Male,43,48498,160258
NYC,Fall,Jeep,Female,47,41767,119584
Phoenix,Fall,Toyota,Female,40,42113,283605
Seattle,Fall,Honda,Male,74,46403,150477
Phoenix,Fall,Ford,Female,27,17979,145624
Phoenix,Spring,Ford,Female,34,14498,204258
Seattle,Summer,Nissan,Male,67,31396,233021
LA,Spring,Ram,Female,74,29928,157542
Philladephia,Winter,Nissan,Female,72,18152,247563
Seattle,Fall,Honda,Male,78,45821,279930
Philladephia,Spring,Ram,Female,27,35510,293712
Columbus,Summer,Nissan,Female,29,30858,287389
Chicago,Spring,Chevrolet,Male,36,44907,157081
San Antonio,Spring,Nissan,Female,55,14344,280963
San Diego,Winter,Honda,Female,37,21953,116460
Phoenix,Winter,Honda,Female,36,35428,91690
Chicago,Summer,Hyundai,Female,73,11802,267199
Chicago,Summer,Ram,Female,40,21537,188232
NYC,Winter,Jeep,Male,53,39067,294623
San Antonio,Winter,Nissan,Female,26,41008,47782
Columbus,Spring,Honda,Female,37,28222,130876
Philladephia,Summer,Nissan,Female,42,25954,50120
Phoenix,Spring,Hyundai,Female,61,24009,149290
Seattle,Spring,Hyundai,Female,52,29785,194221
Houston,Winter,Honda,Male,36,47313,102381
San Antonio,Fall,GMC,Male,48,16733,91692
Columbus,Summer,Nissan,Female,83,10869,206627
San Antonio,Spring,GMC,Female,56,49125,234285
Philladephia,Summer,Ram,Male,80,45331,61271
LA,Spring,Ram,Male,77,14222,105368
Austin,Winter,Jeep,Male,60,48733,143982
San Diego,Fall,GMC,Female,26,25250,96526
NYC,Summer,Kia,Female,28,26884,110916
Houston,Spring,Kia,Male,47,43826,204591
Austin,Summer,Subaru,Male,58,23425,66135
San Diego,Spring,Kia,Male,59,45163,64216
NYC,Fall,Chevrolet,Female,68,36362,68156
Philladephia,Fall,Kia,Female,45,10695,40676
San Diego,Spring,Jeep,Male,65,27518,64671
Austin,Spring,Kia,Male,58,37339,125911
San Antonio,Fall,Kia,Female,77,45004,160921
Philladephia,Spring,Jeep,Male,70,41329,166654
San Diego,Winter,Hyundai,Female,46,23942,256286
Seattle,Winter,Honda,Male,38,48086,60424
NYC,Summer,Chevrolet,Male,77,47390,77670
Phoenix,Summer,Chevrolet,Male,39,38855,295298
Austin,Spring,Toyota,Female,72,24530,88936
Chicago,Winter,Jeep,Male,26,45781,106497
Columbus,Summer,Hyundai,Female,21,14254,220443
Columbus,Summer,Toyota,Female,38,36568,235632
NYC,Fall,Nissan,Male,58,21220,50499
Chicago,Fall,Hyundai,Female,58,48864,188066
San Diego,Fall,Honda,Male,54,39110,292930
NYC,Summer,Chevrolet,Female,34,35881,283469
San Antonio,Spring,Honda,Male,77,40034,242804
Seattle,Winter,Toyota,Male,82,36875,196177
San Antonio,Summer,GMC,Female,48,12453,280578
NYC,Winter,Hyundai,Female,57,35385,182426
Seattle,Spring,Jeep,Male,23,42088,230231
San Antonio,Spring,Subaru,Female,81,42216,161727
LA,Summer,Kia,Female,34,24940,237219
Seattle,Spring,Nissan,Female,40,26172,124967
Phoenix,Fall,Nissan,Female,50,49443,271992
Seattle,Spring,Hyundai,Female,78,36647,265354
San Antonio,Spring,Ram,Male,74,35313,238312
LA,Summer,Honda,Male,69,36559,88074
San Diego,Summer,Kia,Male,33,31115,239557
Austin,Fall,Honda,Male,47,42285,234152
San Diego,Spring,Toyota,Male,72,37400,71203
Austin,Winter,Hyundai,Female,47,28447,200342
Seattle,Fall,GMC,Female,51,17185,289916
Chicago,Winter,Ford,Male,82,24266,42121
NYC,Fall,Toyota,Female,24,23750,268498
NYC,Winter,Nissan,Male,55,14446,74512
LA,Spring,Subaru,Male,34,25071,289212
NYC,Fall,Kia,Male,31,14031,175937
Columbus,Spring,Kia,Female,73,13574,231422
Columbus,Spring,Jeep,Male,46,21983,256278
Seattle,Winter,Kia,Female,53,43611,269429
NYC,Spring,Jeep,Female,58,16296,90012
Houston,Winter,Ram,Male,60,27690,273268
Austin,Fall,Chevrolet,Male,80,20102,155701
San Diego,Winter,GMC,Male,53,36989,118527
Philladephia,Spring,Ford,Male,61,30327,226006
Philladephia,Summer,Hyundai,Female,52,20309,133113
Austin,Summer,Toyota,Male,74,33427,261979
Philladephia,Winter,GMC,Male,26,48923,148632
Philladephia,Spring,Ford,Male,37,36905,99517
Seattle,Spring,Nissan,Male,55,14415,151833
Columbus,Summer,Jeep,Male,22,12957,179245
Austin,Summer,Chevrolet,Male,35,47513,49551
LA,Spring,Ram,Male,21,20994,152389
Chicago,Fall,Nissan,Female,36,24353,166466
San Antonio,Fall,Jeep,Female,24,36599,230119
Houston,Spring,Honda,Female,73,14537,67913
Phoenix,Fall,GMC,Male,72,20476,53696
San Diego,Spring,Ford,Male,75,16120,172092
San Antonio,Fall,Ford,Male,38,22890,233502
Columbus,Fall,Nissan,Female,33,17586,102760
San Diego,Fall,Subaru,Male,43,47935,227093
Chicago,Winter,Subaru,Female,37,41899,90915
LA,Winter,Chevrolet,Male,57,10877,148589
San Diego,Fall,GMC,Female,31,43069,221605
San Diego,Fall,Hyundai,Male,66,38196,251371
Columbus,Summer,Jeep,Male,45,39108,46755
LA,Winter,Kia,Female,60,33788,137455
Seattle,Summer,Hyundai,Female,64,10966,256987
Phoenix,Winter,Nissan,Female,57,24339,85324
San Diego,Winter,Chevrolet,Female,59,41040,177082
Chicago,Winter,Jeep,Male,28,38992,69713
NYC,Summer,GMC,Male,69,33302,64566
San Diego,Spring,Kia,Male,57,26583,127208
Chicago,Summer,Honda,Male,51,24018,96409
Columbus,Fall,Honda,Female,53,26850,89183
Seattle,Spring,Hyundai,Female,28,33952,87378
Philladephia,Spring,Subaru,Female,46,15139,288439
Philladephia,Spring,Nissan,Female,46,28223,161743
NYC,Summer,Ford,Female,51,26512,122657
Austin,Summer,Ford,Female,31,20018,217396
Seattle,Summer,Ram,Female,41,10856,185132
NYC,Winter,Chevrolet,Male,23,26197,295268
LA,Fall,Ford,Female,26,41690,125441
San Diego,Spring,Chevrolet,Female,47,25842,48162
Seattle,Fall,Honda,Female,44,17106,162369
Chicago,Fall,Ram,Female,26,29757,264600
Houston,Spring,Toyota,Male,60,26164,281677
Seattle,Spring,Ram,Female,43,33458,227635
LA,Summer,Honda,Female,61,25954,50501
Houston,Spring,Subaru,Female,39,27950,94874
Columbus,Fall,Hyundai,Male,41,27033,179976
Phoenix,Winter,Ford,Female,36,18494,247456
Philladephia,Fall,Ford,Male,78,46341,299316
Philladephia,Summer,Ford,Female,73,18540,176895
Columbus,Winter,Honda,Male,29,41512,166185
NYC,Fall,Kia,Female,36,49008,290883
Austin,Fall,Toyota,Male,32,49532,40353
Phoenix,Fall,Ram,Female,74,13578,278633
Chicago,Summer,Jeep,Female,51,32807,176562
San Diego,Winter,Hyundai,Female,30,17433,112785
NYC,Summer,Nissan,Male,24,36019,291085
Columbus,Summer,Honda,Male,46,42214,266222
San Diego,Summer,Hyundai,Female,83,12482,182244
Chicago,Summer,Jeep,Female,74,20533,240286
Houston,Spring,Chevrolet,Female,52,47555,76907
Seattle,Spring,Nissan,Male,23,36631,77830
San Antonio,Summer,Ford,Female,27,40622,124282
Seattle,Summer,Hyundai,Female,51,43053,211864
San Diego,Summer,Toyota,Male,25,45911,74575
San Antonio,Summer,Nissan,Female,32,29348,92285
LA,Spring,GMC,Female,29,33682,87599
LA,Summer,Kia,Female,43,34656,79260
San Diego,Spring,Jeep,Female,76,37194,170835
Phoenix,Spring,Hyundai,Male,77,17013,45307
Chicago,Winter,Nissan,Female,53,46103,76180
Chicago,Summer,Ram,Male,25,25488,228512
Philladephia,Fall,Jeep,Female,29,33463,287942
Houston,Winter,Honda,Male,67,40952,213325
NYC,Summer,Ford,Male,83,44233,106086
Austin,Fall,Toyota,Female,28,13577,140430
San Antonio,Summer,Chevrolet,Male,72,11934,52632
San Antonio,Summer,Jeep,Male,28,39201,214508
Columbus,Spring,Ford,Female,54,47837,122909
San Diego,Spring,Toyota,Male,68,14081,252797
Philladephia,Spring,Subaru,Male,67,12277,232988
Columbus,Spring,GMC,Male,71,26140,241091
Seattle,Winter,Kia,Female,37,11389,130377
Houston,Spring,Kia,Female,65,40102,285521
Chicago,Winter,Honda,Male,25,17681,243917
Phoenix,Winter,Hyundai,Female,32,19016,298359
Chicago,Spring,Kia,Male,35,39593,66670
Columbus,Summer,Nissan,Female,50,26628,91634
Columbus,Spring,Jeep,Male,35,11673,66210
Chicago,Spring,Nissan,Male,39,44015,229034
Houston,Winter,Ford,Male,29,46944,200910
Columbus,Summer,GMC,Male,38,27226,201301
NYC,Summer,Hyundai,Female,31,45763,56037
Columbus,Winter,Nissan,Male,63,41278,203519
Columbus,Summer,Kia,Female,33,42054,236423
NYC,Spring,Jeep,Male,38,19252,262630
Phoenix,Summer,Toyota,Male,51,45071,276408
LA,Spring,Chevrolet,Female,77,15376,49969
Houston,Spring,Kia,Female,69,27547,137744
Columbus,Fall,Subaru,Female,43,26113,256599
Philladephia,Summer,Honda,Female,56,17688,168880
LA,Spring,Chevrolet,Female,27,21038,239356
Seattle,Summer,Kia,Male,80,47406,296021
Chicago,Winter,Jeep,Female,83,45722,75534
San Diego,Summer,Ram,Male,26,14594,81656
LA,Summer,Ram,Female,41,20935,173812
San Antonio,Summer,Kia,Female,27,20395,240630
Phoenix,Fall,GMC,Female,82,12013,297655
NYC,Summer,Kia,Female,52,49900,297551
NYC,Fall,Hyundai,Male,22,28077,191408
San Diego,Fall,Honda,Male,54,45692,140602
Phoenix,Winter,Jeep,Female,27,12094,254176
NYC,Fall,Chevrolet,Female,71,38162,64997
San Diego,Fall,Hyundai,Male,78,35739,282491
LA,Fall,Chevrolet,Male,33,16057,173263
San Diego,Spring,Jeep,Male,37,40472,75404
Austin,Fall,Subaru,Male,42,37248,252544
NYC,Fall,Honda,Male,67,22654,171583
LA,Fall,Honda,Male,67,17576,221023
Seattle,Summer,Subaru,Female,53,10098,285244
Seattle,Summer,Chevrolet,Male,77,29162,265328
Houston,Fall,Subaru,Female,46,48157,255062
Phoenix,Summer,Subaru,Female,38,36945,190976
LA,Summer,Honda,Male,21,17857,287155
San Antonio,Winter,Jeep,Female,57,29548,267460
Columbus,Summer,Honda,Male,41,18383,104890
Phoenix,Summer,Nissan,Female,69,11143,285765
NYC,Winter,Subaru,Male,60,32157,281629
NYC,Spring,GMC,Male,47,34858,266564
Phoenix,Spring,Ford,Male,37,42122,192560
NYC,Summer,Hyundai,Male,75,45651,264779
LA,Summer,Honda,Male,37,43863,184939
NYC,Fall,Hyundai,Female,50,43102,199437
Austin,Spring,Subaru,Female,71,21874,202783
Columbus,Winter,Kia,Male,63,25994,94106
LA,Fall,Honda,Female,29,35202,282871
San Diego,Winter,Honda,Female,50,13111,83481
NYC,Winter,Honda,Male,36,12794,161654
San Diego,Fall,Hyundai,Male,78,46679,178119
NYC,Spring,Honda,Male,34,17518,54410
Columbus,Fall,Nissan,Female,44,47205,141253
Columbus,Fall,Jeep,Male,27,25351,247381
Seattle,Winter,GMC,Male,77,29585,246326
Seattle,Fall,Subaru,Male,39,14436,130273
San Diego,Winter,Toyota,Female,31,41620,162891
Austin,Fall,Subaru,Male,26,45844,173008
San Diego,Winter,Ram,Female,39,26987,52677
Philladephia,Summer,Ford,Female,77,29463,144515
San Antonio,Fall,Jeep,Male,42,21194,99061
Phoenix,Spring,Hyundai,Female,75,43498,104337
Seattle,Spring,Hyundai,Male,34,37046,238991
San Diego,Spring,GMC,Female,63,17575,112368
Seattle,Summer,Nissan,Female,36,24187,57063
San Diego,Summer,Ford,Female,21,36876,178287
Phoenix,Fall,Ram,Male,56,35555,195252
Seattle,Winter,Kia,Male,59,35118,92018
San Antonio,Summer,Kia,Male,30,47984,206527
LA,Spring,Hyundai,Male,44,28558,190721
Phoenix,Spring,Subaru,Female,38,20189,127327
Philladephia,Summer,Subaru,Male,41,26030,107620
Houston,Spring,Chevrolet,Female,31,39205,264341
NYC,Fall,Ford,Male,36,48298,123095
San Antonio,Spring,Ram,Male,33,30484,87557
Houston,Summer,Honda,Male,56,21143,111558
Seattle,Summer,Chevrolet,Female,22,48859,250083
NYC,Winter,Jeep,Female,79,21396,235749
Columbus,Spring,Ram,Male,78,22179,96957
Columbus,Summer,Hyundai,Male,68,49536,65945
Philladephia,Fall,Nissan,Male,47,31031,143951
NYC,Fall,GMC,Male,40,29703,162093
NYC,Spring,Honda,Male,55,26550,208770
Columbus,Summer,Subaru,Male,47,18351,68792
Phoenix,Spring,Toyota,Female,47,22679,115080
Philladephia,Fall,Toyota,Female,81,42426,137940
San Antonio,Spring,Nissan,Male,61,46740,55508
Columbus,Fall,Jeep,Female,49,47796,131091
Chicago,Summer,Toyota,Male,79,19285,271907
LA,Fall,Subaru,Male,22,30130,93281
Chicago,Winter,Chevrolet,Female,61,40587,47319
Austin,Summer,Subaru,Male,69,20617,151087
Austin,Spring,Ram,Female,70,42083,107645
Columbus,Spring,Kia,Female,70,32279,135637
San Antonio,Summer,Subaru,Male,61,41572,181331
Austin,Summer,GMC,Male,80,47369,265847
Seattle,Fall,Ford,Male,45,16760,217932
Columbus,Winter,Subaru,Male,41,29645,233884
Austin,Summer,Toyota,Male,34,32112,284601
LA,Winter,Jeep,Female,35,45450,164371
San Antonio,Fall,Jeep,Female,51,40334,90975
San Antonio,Summer,Nissan,Female,60,32142,104080
NYC,Spring,Chevrolet,Male,41,17785,132706
Phoenix,Fall,Honda,Male,59,45497,200206
San Diego,Winter,Kia,Male,32,46202,254381
LA,Fall,Hyundai,Male,39,22294,139757
San Antonio,Summer,Honda,Male,75,23144,297647
Phoenix,Spring,Honda,Female,50,49803,296144
Austin,Spring,Kia,Female,41,44447,113994
LA,Summer,Chevrolet,Female,35,22594,226503
Philladephia,Winter,Kia,Male,80,12249,137590
Austin,Winter,Ford,Male,23,36537,90498
NYC,Fall,Jeep,Male,78,26025,294168
San Diego,Winter,Hyundai,Female,56,41216,273956
NYC,Winter,Toyota,Female,44,11601,116203
San Antonio,Spring,GMC,Female,71,19606,69116
Philladephia,Fall,Chevrolet,Female,78,16942,66891
